id, date, sales, stock
5, 2024-05-10, 10, 950
5, 2024-05-11, 10, 950
5, 2024-05-12, 10, 950
5, 2024-05-13, 10, 950
5, 2024-05-14, 10, 950
5, 2024-05-15, 10, 950
5, 2024-05-16, 10, 950
5, 2024-05-17, 10, 950
5, 2024-05-18, 10, 950
5, 2024-05-19, 10, 950
5, 2024-05-20, 10, 950
5, 2024-05-21, 10, 950
5, 2024-05-22, 10, 950
5, 2024-05-23, 10, 950
5, 2024-05-24, 10, 950
5, 2024-05-25, 10, 950
5, 2024-05-26, 10, 950
5, 2024-05-27, 10, 950
5, 2024-05-28, 10, 950
5, 2024-05-29, 10, 950
5, 2024-05-30, 10, 950
6, 2024-05-01, 10, 940
6, 2024-05-02, 10, 940
6, 2024-05-03, 10, 940
6, 2024-05-04, 10, 940
6, 2024-05-05, 10, 940
6, 2024-05-06, 10, 940
6, 2024-05-07, 10, 940
6, 2024-05-08, 10, 940
6, 2024-05-09, 10, 940
6, 2024-05-10, 10, 940
6, 2024-05-11, 10, 940
6, 2024-05-12, 10, 940
6, 2024-05-13, 10, 940
6, 2024-05-14, 10, 940
6, 2024-05-15, 10, 940
6, 2024-05-16, 10, 940
6, 2024-05-17, 10, 940
6, 2024-05-18, 10, 940
6, 2024-05-19, 10, 940
6, 2024-05-20, 10, 940
6, 2024-05-21, 10, 940
6, 2024-05-22, 10, 940
6, 2024-05-23, 10, 940
6, 2024-05-24, 10, 940
6, 2024-05-25, 10, 940
6, 2024-05-26, 10, 940
6, 2024-05-27, 10, 940
6, 2024-05-28, 10, 940
6, 2024-05-29, 10, 940
6, 2024-05-30, 10, 940
7, 2024-05-01, 10, 930
7, 2024-05-02, 10, 930
7, 2024-05-03, 10, 930
7, 2024-05-04, 10, 930
7, 2024-05-05, 10, 930
7, 2024-05-06, 10, 930
7, 2024-05-07, 10, 930
7, 2024-05-08, 10, 930
7, 2024-05-09, 10, 930
7, 2024-05-10, 10, 930
7, 2024-05-11, 10, 930
7, 2024-05-12, 10, 930
7, 2024-05-13, 10, 930
7, 2024-05-14, 10, 930
7, 2024-05-15, 10, 930
7, 2024-05-16, 10, 930
7, 2024-05-17, 10, 930
7, 2024-05-18, 10, 930
7, 2024-05-19, 10, 930
7, 2024-05-20, 10, 930
7, 2024-05-21, 10, 930
7, 2024-05-22, 10, 930
7, 2024-05-23, 10, 930
7, 2024-05-24, 10, 930
7, 2024-05-25, 10, 930
7, 2024-05-26, 10, 930
7, 2024-05-27, 10, 930
7, 2024-05-28, 10, 930
7, 2024-05-29, 10, 930
7, 2024-05-30, 10, 930
8, 2024-05-01, 10, 920
8, 2024-05-02, 10, 920
8, 2024-05-03, 10, 920
8, 2024-05-04, 10, 920
8, 2024-05-05, 10, 920
8, 2024-05-06, 10, 920
8, 2024-05-07, 10, 920
8, 2024-05-08, 10, 920
8, 2024-05-09, 10, 920
8, 2024-05-10, 10, 920
8, 2024-05-11, 10, 920
8, 2024-05-12, 10, 920
8, 2024-05-13, 10, 920
8, 2024-05-14, 10, 920
8, 2024-05-15, 10, 920
8, 2024-05-16, 10, 920
8, 2024-05-17, 10, 920
8, 2024-05-18, 10, 920
8, 2024-05-19, 10, 920
8, 2024-05-20, 10, 920
8, 2024-05-21, 10, 920
8, 2024-05-22, 10, 920
8, 2024-05-23, 10, 920
8, 2024-05-24, 10, 920
8, 2024-05-25, 10, 920
8, 2024-05-26, 10, 920
8, 2024-05-27, 10, 920
8, 2024-05-28, 10, 920
8, 2024-05-29, 10, 920
8, 2024-05-30, 10, 920
9, 2024-05-01, 10, 910
9, 2024-05-02, 10, 910
9, 2024-05-03, 10, 910
9, 2024-05-04, 10, 910
9, 2024-05-05, 10, 910
9, 2024-05-06, 10, 910
9, 2024-05-07, 10, 910
9, 2024-05-08, 10, 910
9, 2024-05-09, 10, 910
9, 2024-05-10, 10, 910
9, 2024-05-11, 10, 910
9, 2024-05-12, 10, 910
9, 2024-05-13, 10, 910
9, 2024-05-14, 10, 910
9, 2024-05-15, 10, 910
9, 2024-05-16, 10, 910
9, 2024-05-17, 10, 910
9, 2024-05-18, 10, 910
9, 2024-05-19, 10, 910
9, 2024-05-20, 10, 910
9, 2024-05-21, 10, 910
9, 2024-05-22, 10, 910
9, 2024-05-23, 10, 910
9, 2024-05-24, 10, 910
9, 2024-05-25, 10, 910
9, 2024-05-26, 10, 910
9, 2024-05-27, 10, 910
9, 2024-05-28, 10, 910
9, 2024-05-29, 10, 910
9, 2024-05-30, 10, 910
10, 2024-05-01, 10, 900
10, 2024-05-02, 10, 900
10, 2024-05-03, 10, 900
10, 2024-05-04, 10, 900
10, 2024-05-05, 10, 900
10, 2024-05-06, 10, 900
10, 2024-05-07, 10, 900
10, 2024-05-08, 10, 900
10, 2024-05-09, 10, 900
10, 2024-05-10, 10, 900
10, 2024-05-11, 10, 900
10, 2024-05-12, 10, 900
10, 2024-05-13, 10, 900
10, 2024-05-14, 10, 900
10, 2024-05-15, 10, 900
10, 2024-05-16, 10, 900
10, 2024-05-17, 10, 900
10, 2024-05-18, 10, 900
10, 2024-05-19, 10, 900
10, 2024-05-20, 10, 900
10, 2024-05-21, 10, 900
10, 2024-05-22, 10, 900
10, 2024-05-23, 10, 900
10, 2024-05-24, 10, 900
10, 2024-05-25, 10, 900
10, 2024-05-26, 10, 900
10, 2024-05-27, 10, 900
10, 2024-05-28, 10, 900
10, 2024-05-29, 10, 900
10, 2024-05-30, 10, 900
